bairro_resid__estadia,óbitos,faixa_etaria_media_dos_contaminados,total_de_casos,mortalidade,renda_per_capita,,,
ABOLICAO,13,49.8,71,18.3, 1 114.99,,,
ACARI,12,47.0,65,18.5,  560.38,,,
AGUA SANTA,5,50.9,29,17.2,1114.99,,,
ALTO DA BOA VISTA,9,51.7,64,14.1, 3 023.42,,,
ANCHIETA,46,47.0,275,16.7,  670.77,,,
ANDARAI,22,54.4,160,13.8, 1 942.47,,,
ANIL,34,51.4,244,13.9, 1 634.27,,,
BANCARIOS,9,48.1,51,17.6,  998.86,,,
BANGU,198,50.1,1053,18.8,  653.26,,,
BARRA DA TIJUCA,106,50.9,1500,7.1, 5 940.31,,,
BARRA DE GUARATIBA,2,50.3,15,13.3,  556.62,,,
BARROS FILHO,5,44.8,57,8.8,  366.90,,,
BENFICA,30,46.6,189,15.9,  577.60,,,
BENTO RIBEIRO,17,48.1,166,10.2,  978.93,,,
BONSUCESSO,63,49.5,449,14.0,  967.84,,,
BOTAFOGO,61,52.3,850,7.2, 3 759.53,,,
BRAS DE PINA,37,51.2,246,15.0,  834.67,,,
CACHAMBI,23,50.0,214,10.7, 1 558.40,,,
CACUIA,13,50.4,65,20.0, 1 232.26,,,
CAJU,17,49.5,95,17.9,  505.50,,,
CAMORIM,6,52.7,43,14.0,  943.58,,,
CAMPINHO,3,50.2,56,5.4,  984.93,,,
CAMPO DOS AFONSOS,1,48.0,10,10.0, 1 279.35,,,
CAMPO GRANDE,244,49.2,1490,16.4,  878.61,,,
CASCADURA,10,45.6,151,6.6,  770.74,,,
CATETE,12,55.5,128,9.4, 2 298.87,,,
CATUMBI,21,52.8,91,23.1,  869.58,,,
CENTRO,51,50.6,455,11.2, 1 533.38,,,
CIDADE DE DEUS,31,53.5,111,27.9,  517.99,,,
CIDADE NOVA,5,50.2,31,16.1,  869.58,,,
COELHO NETO,37,52.2,168,22.0,  670.83,,,
COLEGIO,24,48.3,126,19.0,  628.72,,,
COMPLEXO DO ALEMAO,5,55.8,12,41.7,  390.93,,,
COPACABANA,186,57.5,1701,10.9, 3 768.69,,,
CORDOVIL,22,49.3,153,14.4,  683.22,,,
COSME VELHO,6,56.1,47,12.8, 3 886.05,,,
COSMOS,40,47.6,242,16.5,  526.78,,,
CURICICA,29,51.6,179,16.2,  881.78,,,
DEL CASTILHO,16,48.9,154,10.4, 1 090.60,,,
DEODORO,9,50.4,52,17.3, 1 279.35,,,
ENGENHO DA RAINHA,18,48.7,126,14.3, 1 001.80,,,
ENGENHO DE DENTRO,33,49.0,257,12.8, 1 180.61,,,
ENGENHO NOVO,32,50.5,242,13.2, 1 196.17,,,
ESTACIO,16,53.8,78,20.5,  869.58,,,
FLAMENGO,60,56.5,590,10.2, 4 796.83,,,
FREGUESIA-JPA,52,51.7,337,15.4, 1 942.76,,,
GALEAO,9,46.2,96,9.4,  841.90,,,
GAMBOA,6,52.4,31,19.4,  505.50,,,
GAVEA,20,50.3,374,5.3, 6 098.88,,,
GLORIA,13,55.2,89,14.6, 2 298.87,,,
GRAJAU,21,51.9,265,7.9, 2 619.71,,,
GUADALUPE,24,47.6,235,10.2,  673.81,,,
GUARATIBA,61,48.2,310,19.7,  556.62,,,
HIGIENOPOLIS,18,53.4,82,22.0, 1 090.60,,,
HONORIO GURGEL,17,50.2,85,20.0,  746.54,,,
HUMAITA,14,51.6,187,7.5, 4 162.33,,,
INHAUMA,29,47.5,233,12.4,  594.88,,,
INHOAIBA,34,46.1,206,16.5,  506.05,,,
IPANEMA,44,56.5,546,8.1, 6 323.26,,,
IRAJA,74,50.8,476,15.5, 1 099.34,,,
ITANHANGA,23,48.9,185,12.4, 1 387.77,,,
JACARE,25,52.8,197,12.7, 1 122.58,,,
JACAREPAGUA,63,48.6,612,10.3, 1 049.42,,,
JACAREZINHO,7,55.9,23,30.4,  405.49,,,
JARDIM AMERICA,22,50.3,126,17.5,  821.70,,,
JARDIM BOTANICO,16,54.6,213,7.5, 6 098.88,,,
JARDIM CARIOCA,20,50.1,124,16.1, 1 015.82,,,
JARDIM GUANABARA,21,50.0,155,13.5, 2 768.64,,,
JARDIM SULACAP,11,48.5,85,12.9, 1 279.35,,,
LAGOA,16,56.6,243,6.6, 7 239.50,,,
LARANJEIRAS,37,54.2,394,9.4, 3 886.05,,,
LEBLON,53,56.6,660,8.0, 5 805.42,,,
LEME,14,52.9,112,12.5, 3 873.67,,,
LINS DE VASCONCELOS,13,51.1,105,12.4, 1 256.65,,,
MADUREIRA,28,50.3,233,12.0,  980.13,,,
MAGALHAES BASTOS,17,50.6,85,20.0,  815.67,,,
MANGUINHOS,19,45.4,141,13.5,  439.96,,,
MARACANA,18,49.9,245,7.3, 3 238.76,,,
MARE,64,49.8,235,27.2,  456.72,,,
MARECHAL HERMES,21,48.3,194,10.8,  755.59,,,
MARIA DA GRACA,4,46.1,38,10.5, 1 090.60,,,
MEIER,34,51.9,399,8.5, 2 236.11,,,
MONERO,4,50.5,31,12.9, 1 517.13,,,
OLARIA,52,53.7,298,17.4, 1 078.00,,,
OSWALDO CRUZ,27,51.2,171,15.8,  984.93,,,
PACIENCIA,84,49.3,330,25.5,  517.56,,,
PADRE MIGUEL,51,49.9,276,18.5,  747.16,,,
PAQUETA,1,61.7,12,8.3, 1 011.52,,,
PARADA DE LUCAS,18,45.1,103,17.5,  561.23,,,
PARQUE ANCHIETA,8,46.3,94,8.5,  810.80,,,
PARQUE COLUMBIA,5,53.8,17,29.4,  560.38,,,
PAVUNA,45,47.7,316,14.2,  622.69,,,
PECHINCHA,28,47.9,280,10.0, 1 629.42,,,
PEDRA DE GUARATIBA,8,53.3,36,22.2,  556.62,,,
PENHA,43,50.0,344,12.5,  728.07,,,
PENHA CIRCULAR,21,48.8,175,12.0,  944.76,,,
PIEDADE,38,52.3,245,15.5,  973.30,,,
PILARES,32,53.2,139,23.0,  783.01,,,
PORTUGUESA,11,47.8,109,10.1, 1 517.13,,,
PRACA DA BANDEIRA,9,52.5,75,12.0, 3 023.42,,,
PRACA SECA,44,52.2,250,17.6, 1 073.14,,,
PRAIA DA BANDEIRA,4,47.3,31,12.9, 1 232.26,,,
QUINTINO BOCAIUVA,13,48.2,104,12.5,  986.73,,,
RAMOS,40,47.6,405,9.9, 1 022.91,,,
REALENGO,155,49.6,828,18.7,  768.54,,,
RECREIO DOS BANDEIRANTES,51,48.5,652,7.8, 2 918.19,,,
RIACHUELO,9,63.1,125,7.2, 1 122.58,,,
RIBEIRA,4,59.6,26,15.4, 1 232.26,,,
RICARDO ALBUQUERQUE,7,49.0,98,7.1,  577.55,,,
RIO COMPRIDO,37,53.6,298,12.4, 1 418.24,,,
ROCHA,9,63.2,109,8.3, 1 122.58,,,
ROCHA MIRANDA,28,50.1,172,16.3,  846.46,,,
ROCINHA,47,52.3,230,20.4,  455.67,,,
SAMPAIO,8,49.4,63,12.7, 1 122.58,,,
SANTA CRUZ,139,48.5,652,21.3,  509.71,,,
SANTA TERESA,29,49.8,147,19.7, 1 281.08,,,
SANTISSIMO,33,49.3,178,18.5,  613.97,,,
SANTO CRISTO,12,48.1,65,18.5,  505.50,,,
SAO CONRADO,9,54.3,136,6.6, 3 054.83,,,
SAO CRISTOVAO,48,54.8,264,18.2,  851.89,,,
SAO FRANCISCO XAVIER,5,52.5,40,12.5, 1 122.58,,,
SAUDE,0,36.1,10,0.0,  505.50,,,
SENADOR CAMARA,56,49.6,318,17.6,  572.69,,,
SENADOR VASCONCELOS,22,47.2,123,17.9,  661.66,,,
SEPETIBA,18,55.1,146,12.3,  506.16,,,
TANQUE,23,51.3,155,14.8, 1 020.04,,,
TAQUARA,73,50.4,565,12.9, 1 154.20,,,
TAUA,16,53.8,103,15.5,  901.68,,,
TIJUCA,126,54.4,1351,9.3, 3 023.42,,,
TODOS OS SANTOS,7,52.2,164,4.3, 2 098.82,,,
TOMAS COELHO,10,49.5,76,13.2,  791.92,,,
TURIACU,7,52.1,65,10.8,  788.18,,,
VARGEM GRANDE,3,45.9,76,3.9,  943.58,,,
VARGEM PEQUENA,11,49.6,82,13.4,  943.58,,,
VASCO DA GAMA,2,50.0,14,14.3,  851.89,,,
VAZ LOBO,16,51.7,76,21.1,  788.18,,,
VICENTE DE CARVALHO,17,48.5,100,17.0,  887.90,,,
VIDIGAL,8,47.7,52,15.4, 3 054.83,,,
VIGARIO GERAL,14,50.2,114,12.3,  508.27,,,
VILA DA PENHA,18,50.1,177,10.2, 1 615.80,,,
VILA ISABEL,62,53.1,527,11.8, 2 105.87,,,
VILA KOSMOS,8,53.3,66,12.1,  887.90,,,
VILA MILITAR,4,45.5,22,18.2, 1 279.35,,,
VILA VALQUEIRE,21,49.9,221,9.5, 1 563.04,,,
VISTA ALEGRE,12,50.8,59,20.3, 1 099.34,,,
ZUMBI,3,50.0,14,21.4, 1 232.26,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
